Verb,Noun,Label,Confidence
attack,board,L,1.0
fill,station,L,1.0
touch,rally,L,1.0
grab,buyer,N,1.0
assault,wife,L,1.0
grab,woman,N,1.0
fix,school,N,1.0
examine,policy,L,1.0
pour,water,L,0.5
fill,team,N,1.0
ride,publicity,L,1.0
miss,window,L,1.0
examine,witness,L,1.0
play,role,N,1.0
touch,response,L,1.0
