Verb,Noun,Labels
dissolve,objection,['N']
miss,it,"['L', 'L', 'L', 'L', 'L']"
touch,label,['L']
drown,chant,"['N', 'L']"
pump,debt,['N']
examine,intelligence,['L']
touch,that,"['N', 'N']"
examine,participation,['N']
fill,portion,['N']
melt,Tens,['L']
plow,ground,['N']
knock,point,"['L', 'L']"
pump,concern,['N']
smooth,conflict,"['N', 'L']"
fill,tranche,['N']
step,liquidation,['N']
step,collaboration,['N']
dissolve,agency,['N']
cool,economy,"['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'L']"
examine,text,['L']
assault,street,['L']
eat,half,['L']
pump,drama,['N']
escape,decline,['N']
step,use,"['N', 'N']"
attack,recapitalization,['L']
absorb,sunlight,"['L', 'L']"
plow,acreage,['L']
examine,return,['L']
pour,300,['N']
absorb,acquisition,['N']
attack,trademark,['N']
roll,laptop,['N']
drown,everyone,['N']
fill,seat,"['N', 'L', 'L', 'L', 'L', 'L']"
melt,them,['L']
examine,relationship,"['N', 'N']"
examine,account,['L']
kill,louse,['N']
attack,program,['N']
grab,part,['L']
smooth,rift,"['N', 'N']"
flood,circuit,['L']
assault,African,['L']
roll,fund,['L']
touch,observer,['N']
dissolve,assembly,['N']
drag,way,['N']
cool,fear,"['N', 'N']"
grab,share,"['N', 'N', 'N', 'N', 'L', 'L', 'L', 'L']"
roll,round,['L']
grab,hand,"['N', 'L']"
pour,stream,['N']
drag,group,['N']
escape,degree,['L']
strike,change,['N']
attack,cartilage,['N']
cool,thing,"['N', 'N', 'N', 'L']"
kill,hijacker,['L']
miss,trick,['L']
lend,stock,['L']
absorb,setback,['N']
fly,shuttle,['L']
fix,school,['N']
ride,few,['L']
pour,water,"['N', 'N', 'L', 'L']"
fill,team,['N']
ride,publicity,['L']
miss,window,['L']
kill,UDAGs,['N']
play,role,"['N', 'N', 'N', 'N']"
dissolve,gallstone,"['L', 'L', 'L', 'L', 'L', 'L', 'L']"
pump,arm,['L']
kill,newspaper,['N']
grab,some,['N']
examine,uterus,['L']
drown,rippling,['N']
fill,movie,"['N', 'N']"
pump,price,"['N', 'N', 'L']"
target,It,['N']
miss,hint,['L']
dance,flamingo,['L']
touch,%,['N']
attack,Laboratory,['N']
stick,head,"['N', 'L']"
target,Court,['L']
absorb,third,['N']
absorb,incinerator,['N']
flood,CBS,"['N', 'N', 'L']"
besiege,me,['N']
touch,area,['N']
kill,attache,['L']
dance,tango,['N']
plow,lot,"['L', 'L']"
drown,critic,['N']
touch,debate,['L']
stick,death,['N']
plow,$,"['N', 'N']"
drink,scotch,['L']
target,sector,['N']
eat,piece,['L']
attack,appeal,['N']
touch,thing,['N']
touch,spurt,['N']
destroy,some,['L']
touch,dollar,['N']
kick,him,"['N', 'N', 'N', 'N', 'N', 'L']"
strike,listening,['N']
drink,just,['L']
destroy,job,"['N', 'N']"
kill,lot,['L']
rest,deposit,['L']
strike,Canseco,['N']
miss,segment,['L']
kick,round,['N']
fill,hole,"['N', 'N']"
fix,building,['N']
eat,coating,['N']
melt,adhesive,['L']
melt,most,['L']
fix,leak,"['L', 'L', 'L', 'L']"
absorb,liquid,['L']
stick,minority,['N']
attack,Socalists,"['N', 'N']"
grab,headline,"['N', 'N', 'L', 'L', 'L', 'L']"
examine,overstatement,['N']
knock,Pinochet,['N']
miss,virtuosic,['L']
flood,Researchers,['N']
ride,boat,['N']
stick,we,['N']
attack,practice,['N']
miss,boom,['N']
cool,need,['N']
fill,wish,['N']
touch,order,"['L', 'L']"
eat,entree,['L']
absorb,loss,"['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'L', 'L']"
attack,motif,['L']
fly,warplane,['L']
absorb,North,['N']
strike,child,['L']
absorb,half,['N']
knock,Kyprianou,['N']
attack,victim,['L']
grab,me,['N']
lend,claim,['L']
flood,university,['N']
target,Tietmeyer,['L']
strike,he,['N']
target,assistance,['N']
miss,mark,['N']
knock,block,['N']
destroy,civilization,['N']
besiege,port,['L']
pump,them,['N']
attack,country,['L']
escape,bid,"['L', 'L']"
fill,which,['L']
knock,Average,['N']
attack,proposal,['N']
flow,which,['L']
pour,criticism,['N']
strike,oil,['L']
touch,text,['N']
destroy,project,['L']
plow,million,['N']
eat,crop,['L']
knock,Jesse,['N']
drag,u,"['N', 'N']"
cool,relationship,['N']
grab,nitrogen,['N']
lend,another,['L']
target,cell,['N']
fix,case,['N']
kick,land,['N']
plant,crop,"['N', 'L', 'L', 'L', 'L']"
eat,percentage,['N']
miss,something,['N']
absorb,expense,['N']
target,user,['L']
kick,%,['N']
dissolve,Morris,['L']
pass,bill,['L']
drag,her,"['L', 'L']"
knock,them,"['N', 'N']"
eat,thallium,['N']
flow,eagerness,['L']
fill,void,"['N', 'N', 'N']"
fill,street,['L']
smooth,ups,['N']
attack,system,"['N', 'N']"
strike,statute,['N']
plant,notion,['L']
attack,unemployment,['N']
attack,part,['L']
knock,tile,['L']
fix,charge,['L']
absorb,manpower,['N']
absorb,them,"['N', 'L', 'L', 'L']"
step,lending,['L']
knock,price,"['N', 'N', 'L', 'L', 'L']"
attack,cell,"['N', 'N']"
cool,ardor,['N']
knock,project,['N']
kick,they,['N']
cool,trend,['N']
drink,what,['L']
cool,report,['N']
knock,Met,['N']
drink,gallon,['N']
target,change,['N']
eat,shellfish,['L']
target,country,['N']
destroy,operation,['L']
roll,it,"['N', 'N']"
drag,hero,['L']
roll,number,['N']
step,base,['N']
pour,gallon,['L']
step,line,['N']
miss,cliche,['N']
pour,peseta,['N']
smooth,rise,"['N', 'L', 'L']"
plow,%,"['N', 'N']"
destroy,well,['L']
cool,demand,['N']
miss,show,['L']
touch,capital,['L']
dissolve,which,['N']
destroy,Africa,['N']
fix,truck,['L']
fill,pipeline,['N']
kick,them,['N']
eat,confection,['L']
dissolve,Gallstones,['L']
target,niche,"['N', 'N']"
examine,program,['L']
ride,bike,"['L', 'L']"
lend,total,['L']
lend,machine,['N']
strike,base,['L']
flood,economy,"['N', 'N']"
kick,cloud,['L']
fix,jury,['N']
touch,someone,['N']
target,area,['N']
destroy,image,['N']
knock,command,['N']
roll,something,['L']
target,issue,['N']
smooth,disruption,['N']
kill,two,['L']
absorb,news,"['N', 'N']"
plow,all,['L']
escape,number,['N']
lend,cash,['L']
destroy,Party,"['N', 'N']"
kill,188,['L']
target,Commission,['N']
grasp,conferred,['N']
grab,woman,['N']
plant,half,['L']
pump,that,['N']
drink,whisky,['L']
cool,market,"['N', 'N', 'N', 'N', 'N', 'N', 'N']"
plow,train,"['N', 'N']"
drink,mixer,['L']
dissolve,company,['N']
knock,Spinks,['N']
escape,prison,['L']
miss,thing,['L']
touch,yen,['N']
examine,It,['N']
drink,vodka,"['L', 'L']"
escape,rate,['L']
flood,Patent,['N']
escape,stigma,['N']
kill,motivation,['N']
knock,part,['L']
target,citizen,['L']
fly,them,"['L', 'L']"
drag,profit,['N']
attack,stronghold,['L']
drag,Index,['N']
eat,shoot,['L']
grab,reporter,['N']
flood,Thailand,['N']
fill,form,['N']
pump,Water,['L']
touch,60,['N']
strike,agreement,"['N', 'L']"
fill,slot,['L']
grab,jar,['N']
grasp,way,['L']
lend,support,"['N', 'N', 'N', 'N', 'N', 'L', 'L']"
pass,U.S.,['N']
examine,complaint,['N']
dance,storm,"['L', 'L']"
roll,loss,"['N', 'N', 'N']"
smooth,restructuring,['N']
cool,spending,"['N', 'L']"
ride,earnings,['N']
drink,beverage,"['L', 'L', 'L']"
target,campaign,['N']
absorb,that,['N']
melt,opinion,['N']
grab,member,"['N', 'N']"
eat,thing,['L']
attack,Gephardt,['N']
cool,expectation,['N']
grab,All,['L']
pump,franc,['N']
eat,model,['L']
absorb,space,['N']
pump,business,['L']
examine,decision,['N']
examine,file,['L']
strike,U.S.,['L']
attack,tumor,['N']
roll,car,['N']
attack,Bush,"['L', 'L', 'L']"
assault,side,['N']
smooth,drop,['L']
target,technology,['N']
kick,me,"['L', 'N']"
target,school,['N']
lend,financing,['L']
lend,credibility,['N']
eat,cream,"['N', 'L']"
destroy,reef,['L']
destroy,they,"['L', 'L']"
examine,material,"['L', 'L']"
eat,fish,"['L', 'L']"
cool,heel,"['N', 'N']"
absorb,light,"['L', 'L']"
smooth,edge,['N']
fill,stage,['N']
stick,needle,['L']
eat,tomato,['N']
smooth,performance,['N']
kill,115,"['L', 'L']"
kick,journalist,['L']
strike,country,['L']
dissolve,accord,['N']
absorb,one,['N']
attack,Embassy,"['L', 'L', 'L']"
touch,explosion,['L']
knock,people,['N']
plant,noir,['L']
strike,contract,['L']
drag,which,"['N', 'N']"
strike,arrangement,"['N', 'N']"
kick,as,"['N', 'N']"
kill,ul-Haq,['L']
melt,little,['N']
pour,champagne,['N']
fly,airplane,['L']
strike,individual,['N']
strike,security,['N']
escape,notice,"['N', 'N', 'L']"
absorb,punishment,['L']
dissolve,order,"['L', 'L', 'L']"
target,people,['N']
roll,minijet,['L']
fill,house,"['N', 'N']"
kick,prisoner,['N']
miss,opportunity,"['N', 'N', 'N', 'N', 'N', 'L', 'L', 'L']"
drag,party,['N']
strike,investor,['L']
grab,contract,['L']
absorb,immigrant,['L']
eat,cereal,"['L', 'L']"
miss,session,['L']
flood,body,"['N', 'N', 'N', 'N']"
eat,layer,['N']
absorb,force,['N']
examine,trust,['L']
touch,picture,['L']
flood,mail,['L']
rest,fear,['N']
pour,chunk,['L']
escape,pocket,['N']
escape,exposure,['L']
escape,taxation,"['N', 'N']"
stick,it,"['N', 'L']"
fly,flight,['L']
grasp,custom,"['L', 'L']"
pump,economy,"['N', 'N', 'N']"
kill,official,['L']
fix,dish,['L']
roll,press,"['L', 'L']"
attack,headquarters,['L']
touch,pact,['L']
besiege,hotel,"['L', 'L']"
examine,it,"['L', 'L']"
examine,possibility,['N']
drown,number,['L']
eat,them,"['N', 'N']"
drink,cup,"['N', 'N', 'N', 'L']"
grab,attention,"['N', 'L', 'L', 'L', 'L', 'L', 'L']"
touch,problem,['N']
pour,pollster,['L']
examine,value,['L']
lend,amount,['L']
miss,bit,['L']
eat,tube,['L']
knock,asunder,['L']
kick,stuffing,['N']
drink,tea,"['L', 'L']"
escape,Cuba,['L']
step,challenge,['N']
kill,sailor,"['L', 'L']"
destroy,plan,['N']
escape,form,['N']
dissolve,pact,['L']
examine,problem,"['N', 'N']"
grasp,information,['N']
escape,flame,['N']
attack,provision,['N']
knock,pfennig,"['L', 'L']"
step,volume,['N']
knock,leg,['L']
pour,side,['N']
miss,crack,['L']
strike,Stark,['L']
miss,point,"['N', 'N', 'N', 'N', 'N', 'N', 'L', 'L', 'L', 'L', 'L']"
besiege,SCHOOLS,['N']
dance,hokey-pokey,"['L', 'L']"
miss,sale,['L']
melt,color,['N']
strike,ordinance,['L']
flourish,drawing,['N']
destroy,business,"['N', 'N', 'L']"
stick,It,['L']
touch,who,['N']
touch,people,['N']
touch,boom,"['N', 'N']"
grab,Concorde,['N']
strike,conclusion,['N']
escape,Walsh,['N']
kick,tonight,['N']
target,airplane,['N']
pour,million,"['N', 'N', 'N', 'N', 'N']"
kick,F-16s,['L']
destroy,link,['L']
fix,kettle,['L']
pump,result,['N']
ride,nose,['N']
absorb,lot,"['N', 'N']"
absorb,mark,['L']
drag,block,['L']
kill,hundred,['L']
roll,jam,['N']
fly,foreigner,['L']
kick,drive,['N']
plant,bean,['L']
plant,sign,"['N', 'N']"
kick,giant,['N']
cool,rally,"['N', 'N']"
fix,process,['L']
drink,soda,['N']
strike,mill,"['L', 'L']"
kick,Gaitskill,['N']
destroy,minute,['L']
examine,settlement,['L']
destroy,most,['L']
examine,certificate,['L']
escape,cost,['L']
kill,586,['L']
dissolve,it,"['L', 'L']"
grasp,nettle,"['L', 'L']"
examine,bid,['N']
absorb,share,"['N', 'L']"
attack,solution,['N']
kill,guerrilla,['L']
fly,old,['L']
target,more,['N']
grasp,irony,['N']
kill,him,"['L', 'L', 'L']"
lend,one,['L']
examine,proposal,"['L', 'L']"
miss,week,['L']
examine,violation,['L']
assault,audience,['N']
miss,concert,['L']
miss,class,"['L', 'L', 'L']"
drag,average,['N']
drag,stock,['N']
dissolve,that,['L']
attack,decision,"['L', 'L']"
miss,solution,['N']
smooth,those,['N']
kick,butt,['N']
knock,him,['N']
target,crime,['N']
fill,court,['N']
pump,iron,"['N', 'N']"
kill,goose,['N']
grasp,reality,['N']
cool,residence,['L']
ride,train,"['N', 'L']"
miss,camp,['L']
target,audience,"['N', 'L']"
plant,much,['L']
drag,growth,['N']
fly,25,['L']
smooth,volatility,"['N', 'N', 'L']"
fix,rate,"['N', 'N', 'L', 'L', 'L', 'L', 'L', 'L']"
evaporate,ahead,['N']
examine,way,"['N', 'L']"
pump,air,['L']
examine,research,['L']
fly,trip,['L']
drink,barrel,['L']
target,which,['N']
target,incentive,['N']
eat,pie,['N']
eat,meal,"['L', 'L']"
attack,Democrats,"['N', 'L']"
examine,attitude,['L']
rest,notion,['N']
target,district,['N']
drag,history,['N']
eat,him,['N']
grab,child,['L']
flood,Most,['L']
fill,page,"['N', 'N']"
melt,him,['N']
kill,minister,['L']
pass,Act,['L']
lend,money,"['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L']"
examine,patient,['N']
smooth,cyclicality,['L']
rest,concern,['N']
knock,capacity,['L']
strike,One,"['N', 'L']"
strike,She,['L']
wither,support,['N']
attack,tree,['N']
knock,Grinde,['L']
kill,16,['L']
attack,plan,"['N', 'L']"
absorb,balance,['N']
kill,astronaut,"['L', 'L']"
drown,message,['N']
destroy,party,['N']
die,who,['L']
kill,32,['L']
miss,him,"['L', 'L']"
escape,bailout,['L']
plant,chokecherry,['L']
attack,him,"['N', 'L', 'L', 'L']"
eat,pill,['L']
examine,study,['N']
kick,plan,['N']
eat,%,['N']
miss,picture,['L']
fix,cut,['L']
assault,people,['N']
cool,tower,['L']
target,airport,['N']
knock,dollar,"['N', 'L']"
attack,base,['L']
miss,what,['L']
absorb,thrift,['N']
absorb,Shocks,['N']
fly,time,['L']
attack,contradiction,['N']
examine,activity,['L']
pump,spread,['N']
knock,barrier,['N']
grab,throat,['L']
absorb,all,"['N', 'N']"
miss,trend,['N']
absorb,it,"['N', 'N']"
die,laughing,['N']
kill,five,['N']
grab,hold,"['N', 'L']"
pump,life,"['N', 'N', 'L']"
attack,market,"['N', 'N', 'L']"
cool,enthusiasm,['N']
ride,trend,['L']
fly,body,['L']
target,reader,['N']
target,plan,['N']
knock,team,['N']
attack,treatment,['N']
touch,panic,['N']
grasp,which,['L']
play,manufacturer,['N']
ride,success,['N']
absorb,reserve,['N']
kick,u,"['N', 'N']"
target,Midwest,['N']
attack,target,"['L', 'L', 'L', 'L', 'L']"
attack,economy,['N']
step,plan,['N']
drag,lady,['L']
pump,capital,['N']
eat,hat,['N']
ride,Amtrak,['L']
touch,them,"['L', 'L']"
cool,momentum,['N']
fill,silence,['N']
escape,detention,['L']
rest,hand,['L']
examine,people,['N']
kick,dog,['N']
pour,aid,['N']
strike,one,['N']
flood,broadcast,['N']
destroy,industry,['N']
drink,dose,['L']
stick,customer,['N']
strike,balance,"['N', 'N', 'L', 'L']"
kill,290,['L']
fly,him,['L']
eat,soul,['N']
pour,glass,"['L', 'L']"
fix,deadline,['L']
melt,container,['L']
absorb,penalty,['L']
touch,demand,['L']
attack,ship,"['L', 'L', 'L', 'L']"
kill,member,['N']
drink,liquor,"['L', 'L']"
plant,one-tenth,['L']
miss,offer,['L']
ride,move,['L']
kill,parent,['L']
drag,lot,['L']
lend,aid,['N']
fix,eye,['N']
pour,word,['N']
step,selling,['N']
attack,arsenal,['N']
step,scrutiny,['N']
attack,governor,"['N', 'N']"
play,part,['N']
examine,Union,['N']
kill,people,"['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'N', 'N', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L']"
fill,magazine,['N']
drag,corps,['N']
rest,8,['N']
touch,coat,['L']
eat,salad,"['L', 'L']"
absorb,moisture,['L']
eat,gumbo,['L']
dissolve,venture,"['L', 'L', 'L']"
plow,plane,['N']
attack,town,['L']
kill,child,['N']
flood,People,['L']
strike,them,['L']
drink,drug,['L']
examine,connection,['N']
kill,communist,['L']
play,harp,['L']
besiege,acre,['N']
destroy,opportunity,['L']
plow,cemetery,['L']
roll,It,['N']
plant,potato,['L']
examine,Irving,['L']
attack,Icahn,['N']
plow,terrain,['N']
eat,portion,['L']
examine,charge,['L']
sleep,night,['L']
kick,I,['L']
examine,strategy,['N']
roll,%,['N']
drink,Scotch,['L']
stick,neck,['N']
examine,request,['N']
smooth,slide,['L']
drink,which,['L']
drag,they,['N']
fill,play,['N']
kill,who,['L']
ride,rally,['L']
attack,we,['N']
step,campaign,['L']
fill,term,"['L', 'L']"
lend,we,['L']
touch,low,"['N', 'N', 'L']"
drink,himself,"['N', 'L', 'L']"
flood,world,['L']
miss,promotion,['N']
attack,Union,['N']
miss,rally,"['L', 'L']"
destroy,7,['L']
fix,them,"['L', 'L']"
pump,defense,['N']
grab,portion,['N']
miss,connection,['L']
dissolve,government,['N']
kill,plan,"['N', 'N']"
lend,000,['L']
pump,market,['N']
examine,area,['L']
fill,fleet,['N']
grasp,hand,"['N', 'L', 'L']"
pump,capacity,['L']
drink,toast,"['L', 'L']"
rest,himself,['L']
knock,communication,['N']
miss,move,['L']
dance,dance,['L']
kick,satellite,['N']
touch,water,['L']
miss,much,['N']
attack,neighborhood,['L']
destroy,layer,"['L', 'L', 'L']"
kill,offer,['N']
plant,melon,['L']
fix,device,['L']
flood,system,"['N', 'L']"
escape,effect,['N']
besiege,kingdom,['N']
miss,call,['L']
kill,26,['L']
drink,Vodka,['L']
escape,finding,['L']
lend,hand,"['N', 'N']"
cool,attitude,['N']
fly,route,"['L', 'N', 'L', 'L']"
lend,107,['L']
attack,report,['N']
eat,rule,['N']
absorb,bulk,['N']
strike,time,['L']
ride,horse,['L']
target,shopper,['N']
strike,plan,"['N', 'L']"
fly,A-6,['L']
target,group,['N']
examine,job,['L']
dissolve,firm,"['L', 'L', 'L', 'L']"
rest,perception,['N']
assault,stronghold,['N']
pump,reserve,"['N', 'N', 'N']"
step,merry-go-round,['L']
kill,request,['N']
grab,event,['N']
attack,Dukakis,"['L', 'L', 'L']"
attack,other,['L']
strike,Corp.,['L']
examine,name,['N']
drag,tree,['N']
kick,tire,"['N', 'L']"
fly,it,['L']
absorb,community,['N']
step,acquisition,['L']
strike,India,['L']
escape,while,['L']
miss,thrill,['L']
lend,them,['L']
rest,much,['N']
flood,foundation,['N']
attack,synagogue,['L']
smooth,condition,['N']
destroy,labor,['N']
attack,policy,['L']
drink,%,"['L', 'L']"
knock,York,['N']
examine,effect,"['N', 'N']"
destroy,administration,['N']
strike,duck,['N']
eat,pizza,['L']
step,training,['N']
pump,$,"['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'L']"
grab,dish,['N']
destroy,foundation,['N']
escape,gas,['N']
attack,administration,['N']
grab,market,"['N', 'N', 'N']"
ride,crisis,['N']
target,consumer,"['N', 'N']"
knock,ratio,['N']
absorb,blow,"['N', 'N']"
examine,topic,['L']
attack,convoy,['L']
fill,position,"['N', 'L', 'L', 'L', 'L', 'L', 'L']"
smooth,return,['N']
drown,it,['N']
smooth,level,['N']
escape,reliance,['N']
eat,showing,['N']
plant,6,"['L', 'L']"
destroy,economy,"['N', 'N', 'N']"
destroy,acre,['L']
fill,investor,['N']
step,collection,['L']
attack,neighbor,['L']
kill,seaman,['L']
pour,resource,"['N', 'N', 'L']"
dissolve,structure,['L']
fill,his,['N']
knock,hat,['L']
absorb,influx,['N']
roll,dice,"['N', 'N', 'L']"
miss,goal,"['N', 'N']"
roll,rule,"['N', 'L']"
fill,board,['L']
strike,blow,"['N', 'L']"
grasp,them,['N']
flow,many,['N']
pour,molasses,['L']
plant,beeper,['N']
strike,dirt,['N']
dance,version,['L']
escape,pressure,['L']
flood,Rostenkowski,['L']
escape,shadow,['N']
examine,content,['L']
miss,start,['L']
escape,interceptor,['N']
miss,appearance,['L']
drown,sound,['N']
drown,him,['N']
lend,%,"['L', 'L', 'L', 'L', 'L']"
step,pursuit,['N']
smooth,thing,"['N', 'N']"
escape,virus,['N']
target,crowd,['N']
drink,ounce,['L']
pump,barrel,"['L', 'N', 'N', 'N', 'N']"
kill,navigator,['L']
attack,Stalin,['N']
eat,convention,['L']
fill,statement,['N']
examine,alternative,"['N', 'N', 'N', 'L', 'L', 'L']"
smooth,sand,['L']
knock,number,['L']
touch,revenue,['N']
smooth,flow,"['N', 'N']"
fill,pint,['L']
drink,Bud,['L']
fix,number,['L']
drink,wine,"['L', 'L', 'L']"
sleep,while,['L']
kill,panel,['N']
attack,Robertson,['N']
kick,a,['N']
flood,We,"['N', 'L']"
grab,phone,['L']
grab,tiara,['L']
touch,land,['L']
escape,clutch,"['N', 'L']"
fill,theater,['N']
ride,coaster,['L']
plant,corn,"['L', 'L', 'L']"
kill,son,['L']
drink,Coke,['L']
escape,responsibility,['L']
target,hospital,['L']
examine,computer,['L']
roll,sleeve,"['N', 'N', 'N']"
dance,salsa,"['L', 'L']"
kick,heck,['N']
roll,tax,['N']
examine,hospital,['L']
target,company,"['N', 'N']"
kill,pilot,['N']
flood,that,"['N', 'N']"
knock,someone,['N']
miss,insult,['L']
escape,poverty,['N']
miss,some,['N']
eat,it,"['L', 'N', 'L', 'L', 'L', 'L']"
miss,home,['L']
absorb,capacity,['L']
touch,investigation,"['N', 'L']"
touch,woman,['N']
knock,equipment,['N']
target,anger,['N']
strike,limit,['L']
touch,money,['L']
examine,vase,['L']
escape,cut,['L']
attack,personality,['N']
roll,log,['L']
kill,it,"['N', 'N', 'N']"
eat,snail,"['L', 'L', 'L']"
drag,bottle,['L']
examine,thunderstorm,['N']
escape,brainwashing,['L']
examine,future,['N']
step,spending,['N']
absorb,teaching,['N']
drink,alcohol,"['L', 'L']"
dissolve,Church,['N']
eat,grass,['L']
destroy,Atlanta,['N']
smooth,policy,['N']
absorb,Church,['N']
fix,term,['L']
escape,condition,['L']
plow,profit,"['N', 'N', 'N', 'L']"
attack,record,['L']
flood,court,"['N', 'N']"
touch,sector,['N']
kick,spree,['N']
destroy,half,['L']
plant,that,['N']
pump,circulation,['N']
kick,We,['N']
lend,perspective,['N']
touch,speculation,['L']
examine,them,"['L', 'L', 'L']"
knock,job,['N']
attack,problem,"['N', 'N', 'N', 'L']"
ride,wave,"['N', 'N']"
dance,which,['N']
strike,market,"['L', 'L']"
besiege,Today,['N']
fill,that,['N']
grab,mileage,['N']
grab,chicken,['N']
attack,one,"['N', 'N']"
pour,paraffin,['L']
attack,Lorenzo,['N']
eat,$,['N']
roll,camcorder,['N']
grab,payload,['L']
attack,psyche,['N']
sleep,light,['N']
destroy,drone,['L']
smooth,affair,['N']
lend,service,['N']
strike,friendship,['N']
pour,acid,['L']
destroy,bid,['N']
cool,rod,['N']
kill,cell,"['L', 'L']"
examine,record,"['N', 'L', 'L', 'L']"
lend,anything,['L']
kill,other,['L']
smooth,they,['N']
plant,idea,['N']
escape,tax,"['N', 'N', 'N', 'N', 'N', 'L', 'L']"
pour,potion,['L']
lend,direction,['N']
plant,they,['L']
grasp,message,['L']
lend,fleet,['L']
pump,job,['N']
pour,thousand,['N']
flow,time,['N']
examine,announcement,['L']
eat,profit,['N']
fix,problem,"['N', 'N', 'N', 'N', 'N', 'N', 'L', 'N', 'N', 'L', 'L', 'L']"
kick,heel,['L']
step,attack,"['N', 'N', 'N', 'N', 'L', 'L']"
roll,frontier,"['N', 'N']"
attack,Tokyo,['N']
strike,profile,['L']
dissolve,blood,['L']
pass,thousand,['N']
kick,leg,"['N', 'L']"
destroy,Vietnam,['L']
escape,payment,['L']
escape,welfare,['N']
smooth,swing,"['N', 'N']"
fill,one,['L']
pour,drink,['N']
kill,agency,['N']
absorb,inventory,['N']
plant,third,['L']
attack,Airport,['L']
kill,Stark,['L']
examine,member,['L']
step,war,"['N', 'N']"
examine,bill,['L']
fix,unit,['L']
touch,rebound,['L']
strike,editor,['N']
pump,revenue,['N']
attack,queen,['N']
roll,Thundervolt,['N']
plant,acre,"['L', 'L', 'L', 'L', 'L']"
plow,field,"['N', 'L']"
escape,vortex,['N']
escape,Enrile,['N']
attack,fee,"['L', 'L']"
dance,some,['L']
attack,demonstrator,"['L', 'L']"
flood,shelf,['N']
plant,flag,"['N', 'N']"
absorb,tariff,['N']
absorb,sulfur,['L']
strike,deal,"['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'L', 'L', 'L', 'L']"
flood,reporter,['N']
escape,most,['L']
drink,Corona,['L']
cool,Farenheit,['L']
fix,expenditure,['N']
attack,presence,['N']
drag,them,"['L', 'L']"
touch,controversy,['L']
absorb,Most,['N']
examine,each,['L']
besiege,Banner,['N']
absorb,boost,['L']
besiege,day,['N']
strike,nerve,['N']
kick,phase,['N']
dissolve,Engineering,['N']
assault,right,['L']
attack,merit,['N']
fix,offer,['N']
flood,agency,['N']
roll,tongue,['N']
absorb,Stevens,['N']
examine,data,"['L', 'L']"
smooth,fluctuation,"['N', 'N']"
grab,handcuff,['L']
flood,area,"['N', 'L', 'L']"
touch,state,['N']
escape,shear,"['L', 'L']"
dissolve,Assembly,"['L', 'L', 'L', 'L', 'L', 'L']"
step,pace,['N']
fill,agenda,['L']
eat,breakfast,"['N', 'L', 'L', 'L', 'L']"
examine,ability,['N']
strike,youth,['L']
escape,hybrid,['L']
roll,landslide,['N']
examine,face,['L']
touch,session,['L']
pour,cognac,['L']
flood,list,['L']
kill,program,"['N', 'N', 'N']"
eat,leaf,['N']
absorb,those,['L']
knock,economy,['L']
fill,opening,"['N', 'L']"
drink,whiskey,"['N', 'L']"
drink,Chablis,['L']
flourish,parameter,['N']
wither,crop,"['L', 'L']"
drink,card,['L']
smooth,value,['N']
kill,youth,['L']
kick,her,['N']
target,fund,['N']
dissolve,parent,['N']
drag,earnings,"['N', 'L']"
attack,person,['N']
strike,voter,['N']
eat,peanut,['L']
examine,horse,['L']
escape,fighting,['L']
escape,liability,"['N', 'N']"
play,circle,['N']
eat,themselves,"['L', 'N', 'N']"
roll,container,['L']
examine,offer,['L']
grasp,concept,['N']
step,he,['N']
touch,ground,['L']
fly,outside,['L']
grab,mitt,['L']
rest,treatment,"['L', 'L']"
step,president,['N']
target,equipment,['L']
destroy,facility,['L']
plant,endive,['N']
strike,fear,"['N', 'N']"
fix,odds,['L']
pump,money,"['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
besiege,he,['N']
examine,substance,['L']
grasp,nuance,['L']
strike,root,"['N', 'N']"
fly,aircraft,"['L', 'L', 'N']"
examine,worker,['L']
drag,market,"['N', 'N', 'N', 'L']"
fix,car,['L']
examine,ration,['L']
sleep,it,['L']
flood,market,"['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L']"
target,hundred,['N']
step,door,['L']
escape,amount,['L']
kill,crewman,['L']
dissolve,drug,['L']
escape,onslaught,['L']
step,call,['N']
smooth,move,['N']
strike,day,['L']
plant,some,['N']
pour,fortune,['N']
examine,information,"['L', 'L']"
plant,most,['N']
attack,Khost,['L']
fill,booster,['N']
fill,gap,"['N', 'N', 'N']"
strike,match,['L']
kick,rally,"['N', 'N', 'N']"
pour,cash,['N']
destroy,being,['L']
fill,plane,['L']
escape,ban,['N']
ride,storm,['N']
knock,me,"['N', 'L']"
rest,government,['N']
drink,quantity,['N']
